geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
3400100,"Absecon city, New Jersey",place,34,00100,,2023,9099,37.1,6194,974,509,1380,3559,2.51,77516.0,40216.0,778,8975,0.4492,3759,3559,200,2613,946,237600.0,1814.0,86,20,157,387,946,46.1,6505,1904,566,705,1510,376,90,28,4767,4315,300,7215,4384,3580,256,125,368,76955.0,4016,8.67,6.29,30.81,73.42,5.32,68.71,40.91,19.2,2.85,8.39,0.499
3400160,"Absecon Highlands CDP, New Jersey",place,34,00160,,2023,1512,50.3,1081,16,60,313,595,2.52,80511.0,35952.0,183,1512,0.3057,654,595,59,507,88,284900.0,1681.0,28,0,25,8,88,33.0,1166,364,94,135,187,132,0,7,908,763,145,1306,763,628,40,0,82,18260.0,681,12.1,15.97,27.96,85.21,9.02,69.32,9.09,26.8,0.0,10.75,0.4443
3400640,"Allamuchy CDP, New Jersey",place,34,00640,,2023,107,36.5,107,0,0,0,48,2.23,,70184.0,0,107,0.1607,48,48,0,48,0,,,0,0,0,0,0,,68,0,30,0,38,0,0,0,68,68,0,68,68,68,0,0,0,,68,0.0,0.0,55.88,100.0,0.0,,,,0.0,0.0,0.0
3400700,"Allendale borough, New Jersey",place,34,00700,,2023,6820,45.7,5084,60,1162,163,2332,2.88,156992.0,93937.0,223,6754,0.539,2505,2332,173,1805,527,764600.0,2648.0,45,22,23,196,527,34.5,4620,366,83,186,1773,1150,306,99,2936,2858,78,5160,2837,1549,51,323,876,75180.0,1961,3.3,2.66,72.03,77.4,6.91,54.27,37.19,38.3,11.39,30.88,0.4146
3400730,"Allenhurst borough, New Jersey",place,34,00730,,2023,387,50.3,306,4,4,40,168,2.3,96500.0,76865.0,22,387,0.6105,337,168,169,88,80,1125000.0,1433.0,3,6,9,13,80,24.6,311,43,24,18,121,48,23,8,236,202,34,353,196,150,10,8,20,5150.0,176,5.68,14.41,64.31,52.38,50.15,38.75,16.25,29.3,4.08,10.2,0.3639
3400760,"Allentown borough, New Jersey",place,34,00760,,2023,1926,40.0,1626,129,36,104,683,2.82,134583.0,55178.0,70,1926,0.3929,721,683,38,531,152,397100.0,1517.0,3,23,7,19,152,28.1,1276,207,75,111,398,239,30,12,1106,1053,53,1516,1040,789,43,5,184,26400.0,856,3.63,4.79,53.21,77.75,5.27,34.21,12.5,30.8,0.48,17.69,0.2795
3400790,"Allenwood CDP, New Jersey",place,34,00790,,2023,721,44.9,682,0,13,0,274,2.63,217500.0,68178.0,38,721,0.355,310,274,36,231,43,727600.0,,0,0,0,43,43,,530,49,0,24,190,82,23,0,528,515,13,622,515,467,41,0,7,15770.0,508,5.27,2.46,55.66,84.31,11.61,100.0,100.0,31.0,0.0,1.36,0.1049
3400850,"Alloway CDP, New Jersey",place,34,00850,,2023,1473,50.5,1335,31,0,67,539,2.66,138260.0,51647.0,0,1452,0.2731,563,539,24,528,11,282500.0,,0,0,0,0,11,,1091,449,104,136,206,75,0,0,848,816,32,1271,816,694,0,0,60,27335.0,756,0.0,3.77,25.76,97.96,4.26,0.0,0.0,36.2,0.0,7.35,0.1761
3401030,"Alpha borough, New Jersey",place,34,01030,,2023,2249,43.8,1896,32,34,193,983,2.27,83125.0,43224.0,155,2225,0.3969,1022,983,39,716,267,250400.0,1234.0,19,20,31,57,267,30.8,1719,512,91,285,288,88,6,0,1248,1205,34,1899,1202,933,121,1,122,26125.0,1080,6.97,2.72,22.22,72.84,3.82,47.57,21.35,24.2,0.08,10.15,0.2815
3401090,"Alpine borough, New Jersey",place,34,01090,,2023,1503,50.4,884,69,436,57,517,2.91,250001.0,132298.0,49,1503,0.5022,593,517,76,481,36,2000001.0,2357.0,0,0,1,4,36,18.3,1073,72,19,41,483,198,168,18,708,658,50,1201,643,422,83,29,96,17610.0,547,3.26,7.06,80.8,93.04,12.82,13.89,11.11,32.2,4.51,14.93,0.5664
