geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
07001,ZCTA5 07001,zcta,,,07001,2023,17143,39.3,6147,4764,3419,3631,5629,2.49,95935.0,38824.0,1197,14051,0.4135,5693,5629,64,2799,2830,351200.0,1839.0,70,123,513,374,2830,26.9,12997,3618,719,1000,2379,1279,124,39,8060,7654,406,14324,7527,5374,516,775,667,232995.0,6860,8.52,5.04,29.4,49.72,1.12,38.16,13.22,34.0,10.3,8.86,0.7096
07002,ZCTA5 07002,zcta,,,07002,2023,70468,38.6,36296,8237,7261,22065,28325,2.48,81285.0,41472.0,10107,70350,0.4567,30161,28325,1836,10604,17721,446100.0,1593.0,1740,854,1587,3878,17721,29.0,49773,12859,2078,3360,13987,4424,926,417,36506,34325,2044,56003,33853,16746,2546,7084,4512,999195.0,29341,14.37,5.6,39.69,37.44,6.09,45.48,21.88,34.1,20.93,13.33,0.6124
07003,ZCTA5 07003,zcta,,,07003,2023,52921,38.1,25034,9435,5212,14936,21075,2.48,98805.0,50433.0,4593,52166,0.4316,21692,21075,617,10985,10090,447600.0,1775.0,942,701,512,2556,10090,29.4,37787,8070,1928,2473,11926,4758,1040,657,31801,29853,1948,43883,28912,16172,2477,3835,5231,795195.0,23681,8.8,6.13,48.64,52.12,2.84,46.69,25.33,33.6,13.26,18.09,0.6551
07004,ZCTA5 07004,zcta,,,07004,2023,7712,49.8,6660,91,207,782,3003,2.57,113750.0,58846.0,774,7712,0.4414,3054,3003,51,2382,621,651800.0,2576.0,84,23,214,186,621,44.6,5824,1328,224,272,1845,907,233,13,3877,3395,482,6161,3242,2581,96,112,400,68670.0,2842,10.04,12.43,51.48,79.32,1.67,81.64,29.95,24.2,3.45,12.34,0.2431
07005,ZCTA5 07005,zcta,,,07005,2023,15240,42.0,11548,642,1146,1834,5745,2.61,126411.0,63569.0,780,15050,0.4506,6115,5745,370,4076,1669,565900.0,1779.0,108,80,67,492,1669,28.8,10589,2122,487,566,3494,1722,513,157,8464,8042,422,12295,7942,5779,355,132,1507,167845.0,6435,5.18,4.99,55.59,70.95,6.05,44.76,29.48,26.1,1.66,18.98,0.4039
07006,ZCTA5 07006,zcta,,,07006,2023,26417,42.8,20376,780,2181,2824,9934,2.58,148645.0,74832.0,896,25672,0.4599,10183,9934,249,7303,2631,667300.0,1973.0,195,180,368,475,2631,30.0,18662,2449,722,1291,6397,4151,968,602,14942,14276,666,21172,14109,9849,567,674,2707,315230.0,11402,3.49,4.46,64.93,73.52,2.45,46.29,18.05,27.6,4.78,19.19,0.3859
07008,ZCTA5 07008,zcta,,,07008,2023,25220,39.3,6865,4366,6163,8577,8332,3.02,87712.0,36319.0,2514,25123,0.4245,8717,8332,385,4607,3725,370100.0,2012.0,582,150,224,462,3725,26.6,16844,4753,1388,1175,3417,1025,148,75,13131,11983,1148,20368,11687,7987,1159,907,1071,341870.0,10616,10.01,8.74,27.7,55.29,4.42,38.07,12.4,32.2,7.76,9.16,0.7206
07009,ZCTA5 07009,zcta,,,07009,2023,13317,45.3,10667,593,1048,1042,4974,2.54,153654.0,66707.0,421,12574,0.4155,5107,4974,133,4149,825,600800.0,1693.0,73,49,16,143,825,26.7,9724,1659,761,475,3432,1506,494,250,6855,6236,619,10845,6193,3611,374,729,1374,166375.0,4819,3.35,9.03,58.43,83.41,2.6,34.06,17.33,34.5,11.77,22.19,0.3441
07010,ZCTA5 07010,zcta,,,07010,2023,25580,41.0,13881,845,3402,8293,10615,2.41,94960.0,51220.0,2873,25455,0.4913,11223,10615,608,5291,5324,577200.0,1783.0,207,470,535,1244,5324,29.3,18897,3800,590,1344,4861,2176,520,458,13669,13008,661,21545,12705,5855,1321,2232,2233,364195.0,10472,11.29,4.84,42.41,49.84,5.42,46.13,23.37,34.8,17.57,17.58,0.5816
07011,ZCTA5 07011,zcta,,,07011,2023,38817,39.9,17561,2306,1548,21711,13688,2.81,73589.0,33799.0,4010,38580,0.4385,14198,13688,510,6184,7504,403200.0,1613.0,496,391,788,2447,7504,35.1,27867,9191,1519,1681,4973,1081,97,127,21859,20521,1338,31786,19777,13838,1847,1628,1415,495310.0,18362,10.39,6.12,22.53,45.18,3.59,54.93,32.61,27.0,8.23,7.15,0.4774
07012,ZCTA5 07012,zcta,,,07012,2023,15153,38.4,9434,974,1621,3951,5545,2.73,100341.0,48582.0,532,15150,0.4342,5641,5545,96,3063,2482,459300.0,1695.0,175,202,207,540,2482,28.3,10092,2135,677,858,2567,1377,380,97,7938,7563,375,11243,7470,4196,797,1100,1195,200085.0,6275,3.51,4.72,43.81,55.24,1.7,45.29,21.76,31.9,14.73,16.0,0.5288
07013,ZCTA5 07013,zcta,,,07013,2023,29419,46.4,18702,726,3013,7523,11660,2.52,119291.0,55912.0,1560,29376,0.4173,12005,11660,345,8544,3116,462700.0,1696.0,189,80,168,1028,3116,29.9,23147,6332,1226,1204,6493,2249,718,133,16805,15630,1175,25472,15357,11207,663,1364,1877,399535.0,13480,5.31,6.99,41.44,73.28,2.87,47.02,32.99,29.6,8.88,12.22,0.5194
07014,ZCTA5 07014,zcta,,,07014,2023,4867,39.0,2968,113,607,1651,1790,2.72,138222.0,57217.0,484,4867,0.3971,2006,1790,216,1309,481,413400.0,1912.0,31,0,0,140,481,18.8,3480,798,161,283,1094,452,298,13,2976,2481,495,3956,2411,1620,130,275,186,68785.0,2225,9.94,16.63,53.36,73.13,10.77,35.55,29.11,30.9,11.41,7.71,0.497
07016,ZCTA5 07016,zcta,,,07016,2023,23841,42.9,20482,554,725,1770,9410,2.5,148629.0,78461.0,633,23559,0.4531,9619,9410,209,7377,2033,635800.0,2116.0,438,52,235,306,2033,30.6,17001,2872,690,700,6417,3330,949,323,12980,12525,438,19201,12357,7229,474,1533,2805,338450.0,9552,2.69,3.37,64.81,78.4,2.17,50.71,15.05,35.4,12.41,22.7,0.255
07017,ZCTA5 07017,zcta,,,07017,2023,40809,36.2,1624,31627,939,4942,16018,2.5,61552.0,31793.0,6953,40067,0.4305,16770,16018,752,5020,10998,316700.0,1346.0,1016,783,1102,2402,10998,30.3,29000,9584,2286,1985,4650,1199,258,221,21321,19005,2266,32443,18334,11160,730,3640,1546,635840.0,16788,17.35,10.63,21.82,31.34,4.48,48.22,21.84,37.9,19.85,8.43,0.3826
