geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
07001,ZCTA5 07001,zcta,,,07001,2012,16598,38.1,8468,3609,3836,2164,4857,2.74,74134.0,25123.0,1081,13371,0.3499,5096,4857,239,2783,2074,292000.0,1236.0,100,113,139,290,2074,23.1,12744,3813,451,608,2206,896,159,27,7238,6716,522,13984,6594,5235,292,920,53,222150.0,6541,8.08,7.21,25.8,57.3,4.69,30.95,13.98,34.0,13.95,0.8,0.622
07001,ZCTA5 07001,zcta,,,07001,2013,16895,38.2,8644,3715,3768,2388,4998,2.67,71141.0,23899.0,1096,13362,0.3586,5173,4998,175,2699,2299,286400.0,1236.0,160,121,225,276,2299,23.9,13150,3791,449,554,2321,843,195,7,7074,6572,502,14326,6477,5200,250,970,25,210975.0,6452,8.2,7.1,25.6,54.0,3.38,34.01,12.01,32.7,14.98,0.39,0.6202
07001,ZCTA5 07001,zcta,,,07001,2014,17479,39.0,8600,4480,3662,2822,4911,2.77,72917.0,24203.0,1115,13592,0.3763,5106,4911,195,2639,2272,271500.0,1189.0,178,172,145,286,2272,23.6,13461,4177,433,570,2219,1035,160,11,7378,6954,424,14822,6854,5560,337,787,115,209335.0,6739,8.2,5.75,25.44,53.74,3.82,34.38,12.59,31.1,11.48,1.68,0.6223
07001,ZCTA5 07001,zcta,,,07001,2015,18295,39.6,9123,4449,3925,2925,4974,2.81,68036.0,22639.0,1016,13911,0.3966,5179,4974,205,2601,2373,269000.0,1199.0,225,155,167,353,2373,25.1,14131,4452,481,582,2125,1072,143,9,7171,6731,440,15318,6628,5344,288,880,60,209695.0,6568,7.3,6.14,23.7,52.29,3.96,37.93,14.88,31.9,13.28,0.91,0.6206
07001,ZCTA5 07001,zcta,,,07001,2016,18136,40.6,8926,4673,3580,3081,5022,2.69,64821.0,23021.0,852,13465,0.4083,5181,5022,159,2530,2492,269100.0,1220.0,216,161,227,424,2492,27.1,14130,4666,679,592,2084,979,116,47,7213,6806,407,15307,6762,5428,313,836,124,206705.0,6638,6.33,5.64,22.83,50.38,3.07,41.25,17.01,31.1,12.36,1.83,0.6236
07001,ZCTA5 07001,zcta,,,07001,2017,18244,40.7,8683,4650,3684,3681,5020,2.75,68426.0,23827.0,756,13732,0.4062,5236,5020,216,2422,2598,269700.0,1323.0,251,201,250,401,2598,26.9,14079,4412,761,556,2196,1101,124,50,7512,7158,354,15241,7081,5551,394,957,126,230620.0,6955,5.51,4.71,24.65,48.25,4.13,42.46,15.43,33.2,13.52,1.78,0.627
07001,ZCTA5 07001,zcta,,,07001,2018,18307,41.0,8971,4362,3695,3714,4955,2.82,71943.0,23973.0,960,13954,0.4005,5210,4955,255,2504,2451,267700.0,1390.0,220,158,216,417,2451,25.6,13710,4289,810,563,2198,1112,213,40,7436,7007,429,15163,6914,5500,429,757,151,228500.0,6763,6.88,5.77,25.99,50.53,4.89,41.25,17.01,33.8,10.95,2.18,0.6212
07001,ZCTA5 07001,zcta,,,07001,2019,17981,38.9,9250,4058,3542,3638,5022,2.77,69849.0,23905.0,1237,13878,0.4026,5311,5022,289,2531,2491,263700.0,1494.0,163,120,260,514,2491,26.9,13366,4338,844,549,1841,1300,183,33,7066,6681,385,14643,6589,5007,291,917,227,238640.0,6362,8.91,5.45,25.12,50.4,5.44,42.43,20.63,37.5,13.92,3.45,0.6047
07001,ZCTA5 07001,zcta,,,07001,2020,17539,39.6,7908,4116,3799,3931,5145,2.66,72203.0,26654.0,1578,13717,0.4129,5345,5145,200,2435,2710,277900.0,1441.0,141,113,473,478,2710,28.2,13048,3910,854,1091,1774,1295,119,29,7249,6931,318,14260,6796,4949,539,744,396,224970.0,6400,11.5,4.39,24.66,47.33,3.74,44.46,17.64,35.2,10.95,5.83,0.6445
07001,ZCTA5 07001,zcta,,,07001,2021,17132,39.9,7277,4374,3515,3938,5055,2.65,75947.0,27606.0,1554,13402,0.4054,5262,5055,207,2779,2276,288100.0,1515.0,140,112,470,375,2276,31.5,12595,3775,864,936,1917,1226,89,20,6978,6553,425,13828,6451,4736,476,563,527,209130.0,5924,11.6,6.09,25.82,54.98,3.93,48.2,16.48,35.3,8.73,8.17,0.6595
